user id,item id,ratings,timestamp,Date,Month,Year
1,1,5,874965758,22.09.1997,9,1997
1,10,3,875693118,01.10.1997,10,1997
1,100,5,878543541,03.11.1997,11,1997
1,101,2,878542845,03.11.1997,11,1997
1,102,2,889751736,13.03.1998,3,1998
1,103,1,878542845,03.11.1997,11,1997
1,104,1,875241619,26.09.1997,9,1997
1,105,2,875240739,26.09.1997,9,1997
1,106,4,875241390,26.09.1997,9,1997
1,107,4,875241619,26.09.1997,9,1997
1,108,5,875240920,26.09.1997,9,1997
1,109,5,874965739,22.09.1997,9,1997
1,11,2,875072262,24.09.1997,9,1997
1,110,1,878542845,03.11.1997,11,1997
1,111,5,889751711,13.03.1998,3,1998
1,112,1,878542441,03.11.1997,11,1997
1,113,5,878542738,03.11.1997,11,1997
1,114,5,875072173,24.09.1997,9,1997
1,115,5,878541637,03.11.1997,11,1997
1,116,3,878542960,03.11.1997,11,1997
1,117,3,874965739,22.09.1997,9,1997
1,118,3,875071927,24.09.1997,9,1997
1,119,5,876893098,15.10.1997,10,1997
1,12,5,878542960,03.11.1997,11,1997
1,120,1,875241637,26.09.1997,9,1997
1,121,4,875071823,24.09.1997,9,1997
1,122,3,875241498,26.09.1997,9,1997
1,123,4,875071541,24.09.1997,9,1997
1,124,5,875071484,24.09.1997,9,1997
1,125,3,878542960,03.11.1997,11,1997
1,126,2,875071713,24.09.1997,9,1997
1,127,5,874965706,22.09.1997,9,1997
1,128,4,875072573,24.09.1997,9,1997
1,129,5,887431908,14.02.1998,2,1998
1,13,5,875071805,24.09.1997,9,1997
1,130,3,875072002,24.09.1997,9,1997
1,131,1,878542552,03.11.1997,11,1997
1,132,4,878542889,03.11.1997,11,1997
1,133,4,876892818,15.10.1997,10,1997
1,134,4,875073067,24.09.1997,9,1997
1,135,4,875072404,24.09.1997,9,1997
1,136,3,876893206,15.10.1997,10,1997
1,137,5,875071541,24.09.1997,9,1997
1,138,1,878543006,03.11.1997,11,1997
1,139,3,878543216,03.11.1997,11,1997
1,14,5,874965706,22.09.1997,9,1997
1,140,1,878543133,03.11.1997,11,1997
1,141,3,878542608,03.11.1997,11,1997
1,142,2,878543238,03.11.1997,11,1997
1,143,1,875072631,24.09.1997,9,1997
1,144,4,875073180,24.09.1997,9,1997
1,145,2,875073067,24.09.1997,9,1997
1,146,4,875071561,24.09.1997,9,1997
1,147,3,875240993,26.09.1997,9,1997
